,0,1,2
205,22,9,0.3
206,22,12,0.3
207,22,13,0.3
208,22,14,0.3
209,22,16,0.3
210,22,17,0.3
211,22,18,0.3
212,22,19,0.3
213,22,20,0.3
214,22,24,0.3
215,22,25,2.0
216,22,26,2.0
217,22,28,0.3
218,22,29,2.0
219,22,30,0.3
220,22,31,0.3
221,22,32,0.3
222,22,35,0.3
223,22,38,0.3
224,22,40,0.3
225,25,2,2.0
226,25,3,2.0
227,25,5,2.0
228,25,6,2.0
229,25,8,2.0
230,25,9,2.0
231,25,12,2.0
232,25,13,2.0
233,25,14,2.0
234,25,16,2.0
235,25,17,2.0
236,25,18,2.0
237,25,19,2.0
238,25,20,2.0
239,25,23,2.0
240,25,24,2.0
241,25,26,2.0
242,25,28,2.0
243,25,29,2.0
244,25,30,2.0
245,25,31,2.0
246,25,32,2.0
247,25,33,2.0
248,25,35,0.3
249,25,38,2.0
250,25,40,2.0
251,35,2,0.3
252,35,3,0.3
253,35,5,0.3
254,35,6,0.3
255,35,8,0.3
256,35,9,0.3
257,35,12,0.3
258,35,14,0.3
259,35,16,0.3
260,35,17,0.3
261,35,18,0.3
262,35,19,0.3
263,35,20,0.3
264,35,23,0.3
265,35,24,0.3
266,35,26,0.3
267,35,28,0.3
268,35,29,0.3
269,35,30,0.3
270,35,31,0.3
271,35,32,0.3
272,35,33,0.3
273,35,38,0.3
274,35,40,0.3
275,36,13,0.3
276,16,2,0.3
277,16,3,0.3
278,16,5,0.3
279,16,6,0.3
280,16,8,0.3
281,16,9,0.3
282,16,12,0.3
283,16,13,2.0
284,16,14,0.3
285,16,18,0.3
286,16,19,0.3
287,16,20,0.3
288,16,23,0.3
289,16,24,0.3
290,16,26,2.0
291,16,28,0.3
292,16,29,2.0
293,16,30,0.3
294,16,31,0.3
295,16,32,0.3
296,16,33,0.3
297,16,38,0.3
298,16,40,0.3
299,26,1,2.0
300,26,2,2.0
301,26,3,2.0
302,26,5,2.0
303,26,6,2.0
304,26,8,2.0
305,26,9,2.0
306,26,12,2.0
307,26,14,2.0
308,26,15,2.0
309,26,17,2.0
310,26,18,2.0
311,26,19,0.3
312,26,20,2.0
313,26,23,2.0
314,26,24,2.0
315,26,28,2.0
316,26,29,2.0
317,26,30,2.0
318,26,31,2.0
319,26,32,2.0
320,26,33,2.0
321,26,38,2.0
322,26,40,2.0
323,17,1,2.0
324,17,2,0.3
325,17,3,0.3
326,17,5,2.0
327,17,6,0.3
328,17,8,0.3
329,17,12,0.3
330,17,14,0.3
331,17,18,0.3
332,17,19,0.3
333,17,20,2.0
334,17,23,0.3
335,17,24,0.3
336,17,28,0.3
337,17,29,2.0
338,17,30,0.3
339,17,32,0.3
340,17,33,0.3
341,17,38,0.3
342,17,40,0.3
343,23,2,0.3
344,23,3,0.3
345,23,5,0.3
346,23,6,0.3
347,23,8,0.3
348,23,9,0.3
349,23,12,0.3
350,23,13,0.3
351,23,14,0.3
352,23,18,0.3
353,23,19,0.3
354,23,20,0.3
355,23,24,0.3
356,23,28,0.3
357,23,29,2.0
358,23,30,0.3
359,23,31,0.3
360,23,32,0.3
361,23,38,0.3
362,23,40,0.3
363,14,2,0.3
364,14,3,0.3
365,14,5,0.3
366,14,6,0.3
367,14,8,0.3
368,14,9,0.3
369,14,12,0.3
370,14,13,2.0
371,14,18,0.3
372,14,19,0.3
373,14,20,0.3
374,14,24,0.3
375,14,28,0.3
376,14,29,2.0
377,14,30,0.3
378,14,31,0.3
379,14,32,0.3
380,14,33,0.3
381,14,38,0.3
382,14,40,0.3
383,38,2,0.3
384,38,3,0.3
385,38,5,0.3
386,38,6,0.3
387,38,8,0.3
388,38,9,0.3
389,38,12,0.3
390,38,13,2.0
391,38,18,0.3
392,38,19,0.3
393,38,20,0.3
394,38,24,0.3
395,38,28,0.3
396,38,29,2.0
397,38,30,0.3
398,38,31,0.3
399,38,32,0.3
400,38,33,0.3
401,38,40,0.3
402,32,5,0.3
403,32,6,0.3
404,32,9,0.3
405,32,12,0.3
406,32,18,0.3
407,32,19,0.3
408,32,20,0.3
409,32,24,0.3
410,32,28,0.3
411,32,29,2.0
412,32,30,0.3
413,32,31,0.3
414,32,33,0.3
415,32,40,0.3
416,11,7,2.0
417,11,9,0.3
418,11,10,0.3
419,11,12,0.3
420,11,15,0.3
421,11,18,2.0
422,11,19,0.3
423,11,20,0.3
424,11,27,2.0
425,40,1,2.0
426,40,2,0.3
427,40,3,0.3
428,40,5,0.3
429,40,6,0.3
430,40,8,0.3
431,40,9,0.3
432,40,12,0.3
433,40,13,2.0
434,40,15,2.0
435,40,18,0.3
436,40,19,0.3
437,40,20,0.3
438,40,24,0.3
439,40,28,0.3
440,40,29,2.0
441,40,30,0.3
442,40,31,0.3
443,40,33,0.3
444,19,2,0.3
445,19,3,0.3
446,19,6,0.3
447,19,7,2.0
448,19,8,0.3
449,19,9,0.3
450,19,13,2.0
451,19,18,2.0
452,19,20,0.3
453,19,24,0.3
454,19,27,2.0
455,19,28,0.3
456,19,30,0.3
457,19,31,0.3
458,19,33,0.3
459,27,1,0.3
460,27,7,2.0
461,27,9,0.3
462,27,10,2.0
463,27,12,2.0
464,27,18,0.3
465,27,20,0.3
466,27,24,0.3
467,27,30,2.0
468,18,1,0.3
469,18,2,0.3
470,18,3,0.3
471,18,5,0.3
472,18,6,0.3
473,18,7,2.0
474,18,8,0.3
475,18,9,0.3
476,18,12,0.3
477,18,15,0.3
478,18,20,0.3
479,18,24,0.3
480,18,28,0.3
481,18,29,2.0
482,18,30,0.3
483,18,31,0.3
484,18,33,0.3
485,8,5,0.3
486,8,6,0.3
487,8,9,0.3
488,8,12,0.3
489,8,20,0.3
490,8,24,0.3
491,8,28,0.3
492,8,29,2.0
493,8,30,0.3
494,8,31,0.3
495,8,33,0.3
496,5,2,0.3
497,5,3,0.3
498,5,6,0.3
499,5,9,0.3
500,5,12,0.3
501,5,20,0.3
502,5,24,0.3
503,5,28,0.3
504,5,29,2.0
505,5,30,0.3
506,5,31,0.3
507,5,33,0.3
508,13,3,2.0
509,13,6,2.0
510,13,28,2.0
511,13,33,0.3
512,2,6,0.3
513,2,9,0.3
514,2,12,0.3
515,2,20,0.3
516,2,24,0.3
517,2,28,0.3
518,2,29,2.0
519,2,30,0.3
520,2,31,0.3
521,2,33,0.3
522,7,1,2.0
523,7,6,0.3
524,7,15,2.0
525,12,3,0.3
